i,j,Longitude,Latitude,sealevel,upcount,e,q
3886,2940,129.5166667,-7.983333333,-68.469166,-58.52834814,108,100
3887,2940,129.55,-7.983333333,-72.88733059,-61.59131235,108,100
3888,2940,129.5833333,-7.983333333,-76.89349625,-64.39718836,108,100
3889,2940,129.6166667,-7.983333333,-79.8228627,-66.67931899,108,100
3890,2940,129.65,-7.983333333,-81.43730303,-68.40415286,108,100
3891,2940,129.6833333,-7.983333333,-82.49792956,-69.87152781,108,100
3892,2940,129.7166667,-7.983333333,-84.01396541,-71.53227466,108,100
3893,2940,129.75,-7.983333333,-86.40874721,-73.77767351,108,100
3894,2940,129.7833333,-7.983333333,-90.20300781,-76.92856315,108,100
3895,2940,129.8166667,-7.983333333,-96.06581771,-81.18696636,108,100
3896,2940,129.85,-7.983333333,-104.2646631,-86.47854768,108,100
3897,2940,129.8833333,-7.983333333,-114.0815256,-92.33294773,108,100
3898,2940,129.9166667,-7.983333333,-124.0578785,-97.86588783,108,100
3899,2940,129.95,-7.983333333,-132.0775065,-101.7726648,108,100
3900,2940,129.9833333,-7.983333333,-134.6070156,-102.5517859,108,100
3901,2940,130.0166667,-7.983333333,-129.2532305,-99.36897694,108,100
3902,2940,130.05,-7.983333333,-117.7080175,-92.74955937,888,-888
3903,2940,130.0833333,-7.983333333,-103.5762039,-84.09610178,121,100
3904,2940,130.1166667,-7.983333333,-89.33367201,-74.76202675,121,100
3905,2940,130.15,-7.983333333,-76.19629991,-65.65660787,121,100
3906,2940,130.1833333,-7.983333333,-64.64207309,-57.26431276,121,100
3907,2940,130.2166667,-7.983333333,-54.6023528,-49.77789942,121,100
3908,2940,130.25,-7.983333333,-46.03680921,-43.26830161,121,100
3909,2940,130.2833333,-7.983333333,-39.00756151,-37.78856163,121,100
3910,2940,130.3166667,-7.983333333,-33.51559518,-33.39175415,121,100
3911,2940,130.35,-7.983333333,-29.63034604,-30.10446982,121,100
3912,2940,130.3833333,-7.983333333,-27.19597523,-27.88141169,121,100
3913,2940,130.4166667,-7.983333333,-25.93134138,-26.61227348,121,100
3914,2940,130.45,-7.983333333,-25.71597303,-26.15616106,121,100
3915,2940,130.4833333,-7.983333333,-26.38473642,-26.33914288,121,100
3886,2939,129.5166667,-7.95,-65.83576601,-56.83495602,108,100
3887,2939,129.55,-7.95,-69.57285685,-59.56564958,108,100
3888,2939,129.5833333,-7.95,-72.83999729,-62.05717349,108,100
3889,2939,129.6166667,-7.95,-75.38794232,-64.18509698,108,100
3890,2939,129.65,-7.95,-77.20870523,-65.99440879,108,100
3891,2939,129.6833333,-7.95,-78.92844239,-67.72641027,108,100
3892,2939,129.7166667,-7.95,-81.16422159,-69.70058495,108,100
3893,2939,129.75,-7.95,-84.01139703,-72.22714876,108,100
3894,2939,129.7833333,-7.95,-88.25719269,-75.6659478,108,100
3895,2939,129.8166667,-7.95,-95.02915022,-80.31942149,108,100
3896,2939,129.85,-7.95,-104.5426933,-86.19921764,108,100
3897,2939,129.8833333,-7.95,-116.1527061,-92.94482514,108,100
3898,2939,129.9166667,-7.95,-129.2571065,-99.76677768,108,100
3899,2939,129.95,-7.95,-141.8853592,-105.166312,108,100
3900,2939,129.9833333,-7.95,-147.7207201,-107.0326445,108,100
3901,2939,130.0166667,-7.95,-141.6016098,-104.0463659,108,100
3902,2939,130.05,-7.95,-127.0578676,-96.92732957,888,-888
3903,2939,130.0833333,-7.95,-110.458259,-87.56759146,121,100
3904,2939,130.1166667,-7.95,-94.51177867,-77.55133491,121,100
3905,2939,130.15,-7.95,-80.01401182,-67.80217376,121,100
3906,2939,130.1833333,-7.95,-67.34985062,-58.79143311,121,100
3907,2939,130.2166667,-7.95,-56.39327218,-50.71106604,121,100
3908,2939,130.25,-7.95,-46.86922407,-43.6355224,121,100
3909,2939,130.2833333,-7.95,-38.8894166,-37.64566041,121,100
3910,2939,130.3166667,-7.95,-32.68680706,-32.84567049,121,100
3911,2939,130.35,-7.95,-28.35350759,-29.31815341,121,100
3912,2939,130.3833333,-7.95,-25.79717057,-27.06939393,121,100
3913,2939,130.4166667,-7.95,-24.84414693,-26.00145029,121,100
3914,2939,130.45,-7.95,-25.26079156,-25.91684842,121,100
3915,2939,130.4833333,-7.95,-26.65105086,-26.54724901,121,100
3886,2938,129.5166667,-7.916666667,-61.99968762,-54.07505449,108,100
3887,2938,129.55,-7.916666667,-65.23095338,-56.47783733,108,100
3888,2938,129.5833333,-7.916666667,-67.74932593,-58.64359524,108,100
3889,2938,129.6166667,-7.916666667,-69.81764957,-60.54510884,108,100
3890,2938,129.65,-7.916666667,-71.65191627,-62.27699591,108,100
3891,2938,129.6833333,-7.916666667,-73.62069784,-64.02550813,108,100
3892,2938,129.7166667,-7.916666667,-76.05437698,-66.01487019,108,100
3893,2938,129.75,-7.916666667,-78.88398793,-68.50254641,108,100
3894,2938,129.7833333,-7.916666667,-83.10655994,-71.86497847,108,100
3895,2938,129.8166667,-7.916666667,-89.99346143,-76.44522181,108,100
3896,2938,129.85,-7.916666667,-99.50613416,-82.3226718,108,100
3897,2938,129.8833333,-7.916666667,-111.5369178,-89.30769129,108,100
3898,2938,129.9166667,-7.916666667,-126.4571634,-96.78827125,108,100
3899,2938,129.95,-7.916666667,-142.5169425,-103.2003376,108,100
3900,2938,129.9833333,-7.916666667,-151.2449521,-106.0278528,108,100
3901,2938,130.0166667,-7.916666667,-145.023139,-103.5753744,108,100
3902,2938,130.05,-7.916666667,-128.9494235,-96.62354765,888,-888
3903,2938,130.0833333,-7.916666667,-111.4280162,-87.31041593,121,100
3904,2938,130.1166667,-7.916666667,-95.05672955,-77.30935633,121,100
3905,2938,130.15,-7.916666667,-80.33163124,-67.52603431,121,100
3906,2938,130.1833333,-7.916666667,-67.41561819,-58.40906772,121,100
3907,2938,130.2166667,-7.916666667,-56.1494102,-50.15236327,121,100
3908,2938,130.25,-7.916666667,-46.26822437,-42.84308672,121,100
3909,2938,130.2833333,-7.916666667,-37.7222966,-36.57870075,121,100
3910,2938,130.3166667,-7.916666667,-30.77436701,-31.51411424,121,100
3911,2938,130.35,-7.916666667,-25.84997133,-27.83318414,121,100
3912,2938,130.3833333,-7.916666667,-23.26401631,-25.65433041,121,100
3913,2938,130.4166667,-7.916666667,-22.95009899,-24.9134004,121,100
3914,2938,130.45,-7.916666667,-24.33143267,-25.33071606,121,100
3915,2938,130.4833333,-7.916666667,-26.66483545,-26.51568021,121,100
3886,2937,129.5166667,-7.883333333,-56.97153604,-50.52111123,108,100
3887,2937,129.55,-7.883333333,-59.79249795,-52.6031795,108,100
3888,2937,129.5833333,-7.883333333,-61.84949937,-54.45547128,108,100
3889,2937,129.6166667,-7.883333333,-63.55954427,-56.08637176,108,100
3890,2937,129.65,-7.883333333,-65.24167476,-57.5988071,108,100
3891,2937,129.6833333,-7.883333333,-67.02880735,-59.12358133,108,100
3892,2937,129.7166667,-7.883333333,-69.05817377,-60.82171756,108,100
3893,2937,129.75,-7.883333333,-71.40898713,-62.92398534,108,100
3894,2937,129.7833333,-7.883333333,-75.04509666,-65.77362802,108,100
3895,2937,129.8166667,-7.883333333,-80.87692288,-69.67853246,108,100
3896,2937,129.85,-7.883333333,-88.77482117,-74.78658739,108,100
3897,2937,129.8833333,-7.883333333,-99.3033151,-81.11258148,108,100
3898,2937,129.9166667,-7.883333333,-113.1638178,-88.24341683,108,100
3899,2937,129.95,-7.883333333,-128.420656,-94.73127973,108,100
3900,2937,129.9833333,-7.883333333,-137.4811005,-98.14788241,108,100
3901,2937,130.0166667,-7.883333333,-133.5830491,-96.76097067,108,100
3902,2937,130.05,-7.883333333,-120.5588229,-91.07965278,888,-888
3903,2937,130.0833333,-7.883333333,-105.3738223,-82.93513508,121,100
3904,2937,130.1166667,-7.883333333,-90.62034504,-73.86412058,121,100
3905,2937,130.15,-7.883333333,-77.02995471,-64.75579909,121,100
3906,2937,130.1833333,-7.883333333,-64.78222917,-56.07900699,121,100
3907,2937,130.2166667,-7.883333333,-53.80962511,-48.07174071,121,100
3908,2937,130.25,-7.883333333,-44.0314743,-40.87160372,121,100
3909,2937,130.2833333,-7.883333333,-35.37038269,-34.61074729,121,100
3910,2937,130.3166667,-7.883333333,-27.97108258,-29.48984961,121,100
3911,2937,130.35,-7.883333333,-22.50279316,-25.79889853,121,100
3912,2937,130.3833333,-7.883333333,-19.9336446,-23.80102432,121,100
3913,2937,130.4166667,-7.883333333,-20.49862399,-23.49145445,121,100
3914,2937,130.45,-7.883333333,-23.113387,-24.50408772,121,100
3915,2937,130.4833333,-7.883333333,-26.55648112,-26.31896251,121,100
3886,2936,129.5166667,-7.85,-51.53820736,-46.5154022,108,100
3887,2936,129.55,-7.85,-53.92929447,-48.27887051,108,100
